open_time,open,high,low,close,volume
2020/9/30 7:39,10837.02,10839.38,10835.57,10835.57,9.982539
2020/9/30 7:40,10835.56,10839.44,10833.68,10835.06,16.442727
2020/9/30 7:41,10835.06,10835.63,10834.86,10834.98,5.130364
2020/9/30 7:42,10834.98,10847.76,10834.98,10845.89,30.717871
2020/9/30 7:43,10845.89,10849,10845.89,10848.33,20.528404
2020/9/30 7:44,10848.33,10848.99,10841.14,10844.7,26.092808
2020/9/30 7:45,10844.66,10845,10840,10841.15,26.4605
2020/9/30 7:46,10841.15,10843.41,10839.37,10840.62,20.046031
2020/9/30 7:47,10840.63,10847.55,10838.07,10845.78,37.282876
2020/9/30 7:48,10845.78,10846.57,10843.93,10844.87,15.732598
2020/9/30 7:49,10844.87,10844.87,10836.6,10839.01,15.780597
2020/9/30 7:50,10839.01,10839.01,10835.22,10835.33,5.997072
2020/9/30 7:51,10835.33,10835.39,10834.45,10834.99,9.610466
2020/9/30 7:52,10835,10840,10834.99,10840,8.393923
2020/9/30 7:53,10840,10840,10838.47,10839.99,5.865228
2020/9/30 7:54,10839.78,10840,10838.93,10840,11.549531
2020/9/30 7:55,10840,10843.82,10839.99,10841.82,25.966989
2020/9/30 7:56,10841.82,10842.55,10837.57,10841.5,15.813561
2020/9/30 7:57,10841.49,10841.49,10836.86,10837.48,8.389456
2020/9/30 7:58,10837.48,10841.52,10837.48,10841.41,16.269591
2020/9/30 7:59,10841.41,10841.44,10837.96,10840.48,6.976383
2020/9/30 8:00,10840.58,10849.34,10840.58,10847.83,75.115211
2020/9/30 8:01,10847.36,10849.29,10843.96,10844.28,15.556612
2020/9/30 8:02,10844.28,10846.71,10837.52,10840.81,32.946579
2020/9/30 8:03,10840.7,10844.28,10836.34,10843.47,24.052079
2020/9/30 8:04,10843.47,10847,10841.83,10842.91,25.346545
2020/9/30 8:05,10842.77,10842.78,10833.29,10834.02,22.188223
2020/9/30 8:06,10834.02,10834.2,10824.34,10830.57,48.159358
2020/9/30 8:07,10830.57,10833.51,10826.19,10826.82,16.218809
2020/9/30 8:08,10826.82,10841.75,10825.13,10834.02,33.708205
2020/9/30 8:09,10834.01,10834.01,10824.67,10826.66,24.738419
2020/9/30 8:10,10826.67,10831.46,10826.67,10827.31,21.940994
2020/9/30 8:11,10827.31,10827.32,10820.05,10823.97,21.037375
2020/9/30 8:12,10825.14,10827.53,10820.5,10822.72,33.229314
2020/9/30 8:13,10822.66,10827.14,10815.71,10826.44,46.46663
2020/9/30 8:14,10826.44,10827.07,10822.64,10823.48,17.160405
2020/9/30 8:15,10823.56,10827.84,10823.56,10827.23,18.504034
2020/9/30 8:16,10827.23,10827.23,10822.14,10822.15,9.168156
2020/9/30 8:17,10822.14,10828.36,10821,10826.99,27.971364
2020/9/30 8:18,10827,10832.44,10826.99,10829.36,30.141272
2020/9/30 8:19,10829.36,10829.39,10824.58,10825.14,18.748673
2020/9/30 8:20,10825.13,10825.87,10823.36,10825.87,14.727582
2020/9/30 8:21,10825.86,10827.54,10823.9,10827.07,17.154134
2020/9/30 8:22,10826.99,10826.99,10819.99,10820,21.210667
2020/9/30 8:23,10820,10824.24,10820,10821.17,11.484454
2020/9/30 8:24,10821.18,10823.82,10819.79,10822.91,20.222018
2020/9/30 8:25,10822.9,10822.91,10818.99,10818.99,22.016304
2020/9/30 8:26,10819,10821.96,10818,10821.69,10.543802
2020/9/30 8:27,10821.69,10821.69,10815.89,10817.81,24.913368
2020/9/30 8:28,10817.81,10818.5,10817.8,10818.48,8.470655
2020/9/30 8:29,10818.47,10823,10818.47,10822.07,10.004196
2020/9/30 8:30,10822.07,10822.07,10814.9,10814.91,12.978626
2020/9/30 8:31,10814.91,10817.38,10813.64,10816.8,8.146926
2020/9/30 8:32,10816.8,10816.8,10813.65,10814,18.439138
2020/9/30 8:33,10814.13,10814.43,10811.92,10813.93,12.28316
2020/9/30 8:34,10813.93,10818.26,10813.92,10817.3,23.958319
2020/9/30 8:35,10817.29,10817.29,10811.91,10815.71,16.360972
2020/9/30 8:36,10815.71,10820,10815.55,10820,20.683734
2020/9/30 8:37,10820,10820,10815.64,10815.64,7.701082
2020/9/30 8:38,10815.64,10815.65,10812.73,10813.17,11.442196
2020/9/30 8:39,10813.17,10816.24,10813.17,10816.23,10.186615
2020/9/30 8:40,10816.24,10816.24,10812.71,10813.95,20.010959
2020/9/30 8:41,10813.95,10814.41,10811.18,10813.46,28.690754
2020/9/30 8:42,10813.46,10813.46,10812.05,10812.99,33.141284
